А	а 
ӑмӑртӑвӗсене	ӑ м ӑ р т ӑ в ӗ с е н е 
ӑнтӑлакансем	ӑ н т ӑ л а к а н с е м 
ӑслӑлӑхсенче	ӑ с л ӑ л ӑ х с е н ч е 
ӗҫлекенсемпе	ӗ ҫ л е к е н с е м п е 
ӳкерекенсене	ӳ к е р е к е н с е н е 
ӳкерчӗксемпе	ӳ к е р ч ӗ к с е м п е 
Азербайджанри	а з е р б а й д ж а н р и 
Александрович	а л е к с а н д р о в и ч 
Александрӑшӑн	а л е к с а н д р ӑ ш ӑ н 
Артподготовка	а р т п о д г о т о в к а 
Вешкаймӑсемпе	в е ш к а й м ӑ с е м п е 
Владивостокри	в л а д и в о с т о к р и 
Кипеккассинче	к и п е к к а с с и н ч е 
Комиссаровсем	к о м и с с а р о в с е м 
Комсомолецсем	к о м с о м о л е ц с е м 
Комсомольская	к о м с о м о л ь с к а я 
Конституцисем	к о н с т и т у ц и с е м 
Красноярскран	к р а с н о я р с к р а н 
Кулянмаллипех	к у л я н м а л л и п е х 
Лапракассинче	л а п р а к а с с и н ч е 
Муниципалитет	м у н и ц и п а л и т е т 
Никандровичӑн	н и к а н д р о в и ч ӑ н 
Парламентский	п а р л а м е н т с к и й 
Полицейсиксем	п о л и ц е й с и к с е м 
Полицейскисем	п о л и ц е й с к и с е м 
Правительстви	п р а в и т е л ь с т в и 
Правительство	п р а в и т е л ь с т в о 
Председателӗн	п р е д с е д а т е л ӗ н 
Промтракторта	п р о м т р а к т о р т а 
Пушкӑртстанра	п у ш к ӑ р т с т а н р а 
Реорганизацин	р е о р г а н и з а ц и н 
Республикинче	р е с п у б л и к и н ч е 
Республикинчи	р е с п у б л и к и н ч и 
Республикӑмӑр	р е с п у б л и к ӑ м ӑ р 
Севастопольте	с е в а с т о п о л ь т е 
Севастопольти	с е в а с т о п о л ь т и 
Специалистсем	с п е ц и а л и с т с е м 
Строительство	с т р о и т е л ь с т в о 
Сӗнтӗрвӑррине	с ӗ н т ӗ р в ӑ р р и н е 
Танлаштарӑмӑн	т а н л а ш т а р ӑ м ӑ н 
Ттуристсемшӗн	т т у р и с т с е м ш ӗ н 
Тӗпренчӗкӗсем	т ӗ п р е н ч ӗ к ӗ с е м 
Узбекистанран	у з б е к и с т а н р а н 
Федерацийӗнчи	ф е д е р а ц и й ӗ н ч и 
Хӗвелҫаврӑнӑш	х ӗ в е л ҫ а в р ӑ н ӑ ш 
Экскаваторщик	э к с к а в а т о р щ и к 
Экстремальные	э к с т р е м а л ь н ы е 
Электробуссем	э л е к т р о б у с с е м 
автономийӗсен	а в т о н о м и й ӗ с е н 
администрацин	а д м и н и с т р а ц и н 
аккомпаниатор	а к к о м п а н и а т о р 
асаилӗвӗсемпе	а с а и л ӗ в ӗ с е м п е 
ассимиляцилес	а с с и м и л я ц и л е с 
аталанманнине	а т а л а н м а н н и н е 
аталантаракан	а т а л а н т а р а к а н 
аталанӑвӗнчен	а т а л а н ӑ в ӗ н ч е н 
батарейкӑсене	б а т а р е й к ӑ с е н е 
викторинӑсене	в и к т о р и н ӑ с е н е 
виҫкӗтеслӗхре	в и ҫ к ӗ т е с л ӗ х р е 
волонтерсемпе	в о л о н т е р с е м п е 
вырнаҫаяссине	в ы р н а ҫ а я с с и н е 
вырнаҫтарасси	в ы р н а ҫ т а р а с с и 
вырнаҫтараҫҫӗ	в ы р н а ҫ т а р а ҫ ҫ ӗ 
вӑрттӑнлӑхӗпе	в ӑ р т т ӑ н л ӑ х ӗ п е 
вӗлерекенсене	в ӗ л е р е к е н с е н е 
вӗлтӗртетеҫҫӗ	в ӗ л т ӗ р т е т е ҫ ҫ ӗ 
вӗренекенӗсем	в ӗ р е н е к е н ӗ с е м 
вӗрентекенсем	в ӗ р е н т е к е н с е м 
вӗчӗрхентерет	в ӗ ч ӗ р х е н т е р е т 
гражданинӗсен	г р а ж д а н и н ӗ с е н 
гражданствине	г р а ж д а н с т в и н е 
диагностикӑна	д и а г н о с т и к ӑ н а 
дискриминации	д и с к р и м и н а ц и и 
дисциплинарлӑ	д и с ц и п л и н а р л ӑ 
дисциплинӑсем	д и с ц и п л и н ӑ с е м 
документалист	д о к у м е н т а л и с т 
журналисткӑпа	ж у р н а л и с т к ӑ п а 
журналистсене	ж у р н а л и с т с е н е 
идентификацию	и д е н т и ф и к а ц и ю 
инспекцийӗнче	и н с п е к ц и й ӗ н ч е 
инструментсен	и н с т р у м е н т с е н 
ирттерекенсем	и р т т е р е к е н с е м 
ирттермесӗрех	и р т т е р м е с ӗ р е х 
йӗркелӳҫӗсене	й ӗ р к е л ӳ ҫ ӗ с е н е 
калаҫнисенчен	к а л а ҫ н и с е н ч е н 
кандидатурине	к а н д и д а т у р и н е 
категорийӗнче	к а т е г о р и й ӗ н ч е 
килӗшӳсӗррине	к и л ӗ ш ӳ с ӗ р р и н е 
кинопостерсен	к и н о п о с т е р с е н 
кинофестивале	к и н о ф е с т и в а л е 
кинофестиваль	к и н о ф е с т и в а л ь 
кинофестивалӗ	к и н о ф е с т и в а л ӗ 
кинофильмсене	к и н о ф и л ь м с е н е 
композиторсем	к о м п о з и т о р с е м 
комсомолецсем	к о м с о м о л е ц с е м 
контрабандист	к о н т р а б а н д и с т 
курманнисемпе	к у р м а н н и с е м п е 
кӑсӑклантарнӑ	к ӑ с ӑ к л а н т а р н ӑ 
кӑтартӑвӗсене	к ӑ т а р т ӑ в ӗ с е н е 
кӗпӗрнаттӑрӗн	к ӗ п ӗ р н а т т ӑ р ӗ н 
кӳрентеретпӗр	к ӳ р е н т е р е т п ӗ р 
литературисен	л и т е р а т у р и с е н 
литературовед	л и т е р а т у р о в е д 
манифестацийӗ	м а н и ф е с т а ц и й ӗ 
материалӗсене	м а т е р и а л ӗ с е н е 
мероприятисем	м е р о п р и я т и с е м 
министерствин	м и н и с т е р с т в и н 
муниципалитет	м у н и ц и п а л и т е т 
мусӑкҫӑсемшӗн	м у с ӑ к ҫ ӑ с е м ш ӗ н 
наркӑмӑшланса	н а р к ӑ м ӑ ш л а н с а 
оборудованийӗ	о б о р у д о в а н и й ӗ 
общежитийӗнче	о б щ е ж и т и й ӗ н ч е 
общественноҫӗ	о б щ е с т в е н н о ҫ ӗ 
олимпиадӑсене	о л и м п и а д ӑ с е н е 
организацийӗн	о р г а н и з а ц и й ӗ н 
организацисем	о р г а н и з а ц и с е м 
паллаштаракан	п а л л а ш т а р а к а н 
паллӑраххисем	п а л л ӑ р а х х и с е м 
палӑртакансем	п а л ӑ р т а к а н с е м 
парламентарие	п а р л а м е н т а р и е 
парламентӗнчи	п а р л а м е н т ӗ н ч и 
парӑмҫӑсенчен	п а р ӑ м ҫ ӑ с е н ч е н 
парӑнтарасшӑн	п а р ӑ н т а р а с ш ӑ н 
пединститутра	п е д и н с т и т у т р а 
пенсионерсене	п е н с и о н е р с е н е 
передатчиксем	п е р е д а т ч и к с е м 
подполковникӗ	п о д п о л к о в н и к ӗ 
поликлиникӑра	п о л и к л и н и к ӑ р а 
полицейскисем	п о л и ц е й с к и с е м 
полицейскисен	п о л и ц е й с к и с е н 
правительство	п р а в и т е л ь с т в о 
предприятийӗн	п р е д п р и я т и й ӗ н 
предприятисем	п р е д п р и я т и с е м 
предприятисен	п р е д п р и я т и с е н 
председателӗн	п р е д с е д а т е л ӗ н 
представитель	п р е д с т а в и т е л ь 
преподаватель	п р е п о д а в а т е л ь 
прлицейскисем	п р л и ц е й с к и с е м 
провинцийӗнчи	п р о в и н ц и й ӗ н ч и 
программинчен	п р о г р а м м и н ч е н 
программисене	п р о г р а м м и с е н е 
производствӑн	п р о и з в о д с т в ӑ н 
прокуратурӑна	п р о к у р а т у р ӑ н а 
прокуратурӑпа	п р о к у р а т у р ӑ п а 
процедурисене	п р о ц е д у р и с е н е 
пултараймасан	п у л т а р а й м а с а н 
пултараймасть	п у л т а р а й м а с т ь 
пултараймаҫҫӗ	п у л т а р а й м а ҫ ҫ ӗ 
пултарулӑхӗпе	п у л т а р у л ӑ х ӗ п е 
пулӑшакансене	п у л ӑ ш а к а н с е н е 
пулӑшаканӗсем	п у л ӑ ш а к а н ӗ с е м 
пулӑшӑвӗсемпе	п у л ӑ ш ӑ в ӗ с е м п е 
пурнӑҫламалла	п у р н ӑ ҫ л а м а л л а 
пурнӑҫламалли	п у р н ӑ ҫ л а м а л л и 
пурӑнакансене	п у р ӑ н а к а н с е н е 
пуҫламӑшӗнчен	п у ҫ л а м ӑ ш ӗ н ч е н 
пуҫланнӑранпа	п у ҫ л а н н ӑ р а н п а 
пуҫтарӑннисен	п у ҫ т а р ӑ н н и с е н 
пысӑккисенчен	п ы с ӑ к к и с е н ч е н 
пысӑклатасшӑн	п ы с ӑ к л а т а с ш ӑ н 
пӑрахтарасшӑн	п ӑ р а х т а р а с ш ӑ н 
пӗлекенскерне	п ӗ л е к е н с к е р н е 
пӗлтерӗшлӗрех	п ӗ л т е р ӗ ш л ӗ р е х 
пӗрлештерекен	п ӗ р л е ш т е р е к е н 
пӗтӗмлетӗвӗпе	п ӗ т ӗ м л е т ӗ в ӗ п е 
пӗчӗккисенчен	п ӗ ч ӗ к к и с е н ч е н 
пӗчӗкскерсене	п ӗ ч ӗ к с к е р с е н е 
разноообразие	р а з н о о о б р а з и е 
расписанийӗпе	р а с п и с а н и й ӗ п е 
революционерӗ	р е в о л ю ц и о н е р ӗ 
регионӗсенчен	р е г и о н ӗ с е н ч е н 
республикинче	р е с п у б л и к и н ч е 
республикисем	р е с п у б л и к и с е м 
республикӑран	р е с п у б л и к ӑ р а н 
республикӑсен	р е с п у б л и к ӑ с е н 
следовательте	с л е д о в а т е л ь т е 
спектакльсене	с п е к т а к л ь с е н е 
специалистсем	с п е ц и а л и с т с е м 
специалистсен	с п е ц и а л и с т с е н 
строительство	с т р о и т е л ь с т в о 
сӑнӳкерчӗксем	с ӑ н ӳ к е р ч ӗ к с е м 
сӑнӳкерчӗксен	с ӑ н ӳ к е р ч ӗ к с е н 
сӳнтерекенсен	с ӳ н т е р е к е н с е н 
танлаштарӑмне	т а н л а ш т а р ӑ м н е 
танлаштарӑмӑн	т а н л а ш т а р ӑ м ӑ н 
тележурналист	т е л е ж у р н а л и с т 
телекӑларӑмпа	т е л е к ӑ л а р ӑ м п а 
телекӑларӑмра	т е л е к ӑ л а р ӑ м р а 
телефонсенчен	т е л е ф о н с е н ч е н 
тепӗлтернӗччӗ	т е п ӗ л т е р н ӗ ч ч ӗ 
территорисене	т е р р и т о р и с е н е 
технологилллӗ	т е х н о л о г и л л л ӗ 
тирпейлессипе	т и р п е й л е с с и п е 
тишкерменнине	т и ш к е р м е н н и н е 
троллейбуссем	т р о л л е й б у с с е м 
троллейбуссен	т р о л л е й б у с с е н 
тунтикунсерен	т у н т и к у н с е р е н 
туслаштарнине	т у с л а ш т а р н и н е 
тӑрӑшакансене	т ӑ р ӑ ш а к а н с е н е 
удостоверение	у д о с т о в е р е н и е 
университетне	у н и в е р с и т е т н е 
университечӗн	у н и в е р с и т е ч ӗ н 
употребляемый	у п о т р е б л я е м ы й 
участковӑйсем	у ч а с т к о в ӑ й с е м 
факультетӗнче	ф а к у л ь т е т ӗ н ч е 
хавхалантарма	х а в х а л а н т а р м а 
хуравлаканччӗ	х у р а в л а к а н ч ч ӗ 
хутшӑнакансен	х у т ш ӑ н а к а н с е н 
хӑваракансене	х ӑ в а р а к а н с е н е 
хӑрушсӑрлӑхне	х ӑ р у ш с ӑ р л ӑ х н е 
хӑрушсӑрлӑхӗн	х ӑ р у ш с ӑ р л ӑ х ӗ н 
чӑвашлантарас	ч ӑ в а ш л а н т а р а с 
шухӑшлассисем	ш у х ӑ ш л а с с и с е м 
